epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1458.37,0.64145,0.98149,0.50606,0.98304,0.89221,0.93228,0.96213,0.86624,0.89221,0.93228,0.95675,0.84549,0.35659,0.47582,0.2736,0.94008,0.0067825,0.0067825,0.0067825
67,1479.97,0.62133,0.94403,0.49007,0.97094,0.9004,0.92071,0.95804,0.86116,0.9004,0.92071,0.95664,0.84458,0.35653,0.47573,0.27611,0.94286,0.006733,0.006733,0.006733
68,1501.62,0.62975,0.94441,0.48462,0.97943,0.88405,0.93325,0.96096,0.8651,0.88539,0.93465,0.95917,0.84607,0.35697,0.47221,0.26895,0.94212,0.0066835,0.0066835,0.0066835
69,1523.18,0.60784,0.9298,0.4715,0.97382,0.89923,0.93922,0.9644,0.86648,0.89919,0.93888,0.96395,0.84899,0.35916,0.45727,0.26822,0.94224,0.006634,0.006634,0.006634
70,1544.77,0.62182,0.94827,0.48056,0.97701,0.91529,0.90932,0.96144,0.86292,0.91529,0.90932,0.95911,0.84673,0.35605,0.44824,0.27738,0.9418,0.0065845,0.0065845,0.0065845
71,1566.32,0.61871,0.9568,0.48882,0.97084,0.88192,0.89241,0.95137,0.86236,0.88323,0.8938,0.95113,0.84582,0.34618,0.4549,0.29594,0.93366,0.006535,0.006535,0.006535
72,1587.99,0.61401,0.95452,0.47775,0.97047,0.88954,0.90692,0.93756,0.84164,0.88954,0.90692,0.93519,0.82735,0.34737,0.44985,0.32462,0.93439,0.0064855,0.0064855,0.0064855
73,1609.59,0.5959,0.91808,0.4637,0.9673,0.91047,0.92587,0.96234,0.86981,0.91047,0.92587,0.9603,0.85078,0.33618,0.44623,0.27881,0.92572,0.006436,0.006436,0.006436
74,1631.25,0.59639,0.9198,0.46153,0.96703,0.92821,0.91542,0.96649,0.87277,0.91816,0.92138,0.96852,0.85729,0.33313,0.42739,0.25982,0.9195,0.0063865,0.0063865,0.0063865
75,1652.88,0.60359,0.91541,0.45551,0.9636,0.91368,0.91431,0.9624,0.87147,0.91509,0.9157,0.96263,0.85773,0.33677,0.44123,0.25976,0.92475,0.006337,0.006337,0.006337
76,1674.43,0.6038,0.89737,0.45852,0.96643,0.88725,0.94538,0.9547,0.86579,0.88865,0.94677,0.95486,0.85086,0.33326,0.44069,0.25912,0.9226,0.0062875,0.0062875,0.0062875
77,1696.13,0.59009,0.89304,0.4476,0.95777,0.88252,0.94566,0.9532,0.86214,0.88252,0.94566,0.95066,0.84526,0.33763,0.44525,0.26599,0.92592,0.006238,0.006238,0.006238
78,1717.69,0.59312,0.89693,0.456,0.96128,0.87381,0.94793,0.95213,0.86394,0.87518,0.94932,0.95115,0.84318,0.33833,0.46382,0.27145,0.9315,0.0061885,0.0061885,0.0061885
79,1739.25,0.58641,0.88169,0.44559,0.95677,0.86334,0.95727,0.95003,0.86194,0.86334,0.95727,0.94889,0.84415,0.33339,0.46959,0.26311,0.92606,0.006139,0.006139,0.006139
80,1760.81,0.58426,0.89583,0.4347,0.95643,0.90686,0.92963,0.958,0.8671,0.90826,0.93102,0.95602,0.84933,0.33146,0.45516,0.25438,0.92954,0.0060895,0.0060895,0.0060895
81,1782.4,0.59386,0.89096,0.44358,0.96164,0.91624,0.9235,0.96082,0.8714,0.91353,0.9281,0.96016,0.85263,0.32907,0.44956,0.24756,0.9257,0.00604,0.00604,0.00604
82,1804.02,0.58641,0.87627,0.43474,0.96045,0.91995,0.9278,0.96351,0.87598,0.92134,0.9292,0.96275,0.85538,0.32092,0.44589,0.24765,0.91663,0.0059905,0.0059905,0.0059905
83,1825.65,0.57226,0.87642,0.43917,0.95288,0.91586,0.93785,0.96597,0.87895,0.92819,0.93423,0.96337,0.86181,0.31911,0.44981,0.24647,0.91399,0.005941,0.005941,0.005941
84,1847.3,0.57042,0.86686,0.43551,0.95363,0.89286,0.94189,0.9578,0.87336,0.90026,0.94147,0.9557,0.85639,0.32148,0.45153,0.2477,0.91511,0.0058915,0.0058915,0.0058915
85,1868.89,0.57092,0.86149,0.42726,0.95536,0.91116,0.94468,0.96178,0.87471,0.91606,0.93924,0.96065,0.85725,0.32022,0.44654,0.2433,0.91692,0.005842,0.005842,0.005842
86,1890.54,0.56912,0.85345,0.42593,0.9473,0.91171,0.94579,0.9619,0.87768,0.91171,0.94579,0.96111,0.85959,0.32084,0.44725,0.24152,0.91619,0.0057925,0.0057925,0.0057925
87,1912.12,0.56357,0.84149,0.41911,0.9475,0.92291,0.91917,0.96155,0.87777,0.92291,0.91917,0.96039,0.85763,0.32224,0.44677,0.24539,0.91442,0.005743,0.005743,0.005743
88,1933.69,0.56321,0.83664,0.41329,0.94973,0.91386,0.92904,0.95802,0.87197,0.91386,0.92904,0.95746,0.85617,0.31917,0.45185,0.24229,0.91127,0.0056935,0.0056935,0.0056935
89,1955.27,0.56246,0.84625,0.41464,0.94821,0.90116,0.94453,0.95875,0.87343,0.90116,0.94453,0.95815,0.85564,0.31302,0.45412,0.23995,0.90894,0.005644,0.005644,0.005644
90,1976.83,0.55775,0.84041,0.41387,0.95027,0.90765,0.9437,0.96085,0.87815,0.90765,0.9437,0.96006,0.8565,0.31481,0.45413,0.24311,0.91439,0.0055945,0.0055945,0.0055945
91,1998.55,0.55467,0.83753,0.41122,0.94456,0.90073,0.92726,0.96076,0.87971,0.90098,0.93001,0.95886,0.85934,0.31164,0.44634,0.2406,0.91205,0.005545,0.005545,0.005545
92,2020.12,0.55583,0.82801,0.40902,0.94656,0.91761,0.9232,0.96795,0.88352,0.91761,0.9232,0.96642,0.863,0.30932,0.44526,0.2314,0.90815,0.0054955,0.0054955,0.0054955
93,2041.8,0.55697,0.8407,0.40315,0.94463,0.92735,0.92291,0.96906,0.88762,0.92735,0.92291,0.96856,0.86474,0.30885,0.44492,0.23071,0.9049,0.005446,0.005446,0.005446
94,2063.4,0.54778,0.81847,0.4023,0.93952,0.91527,0.93312,0.9675,0.88486,0.91527,0.93312,0.9675,0.86473,0.30953,0.4386,0.22836,0.90397,0.0053965,0.0053965,0.0053965
