epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,996.469,0.78185,1.17265,0.5711,0.95254,0.89532,0.96014,0.95313,0.79008,0.89532,0.96014,0.95081,0.7644,0.74085,1.01953,0.52661,0.94913,0.000850087,0.000850087,0.000850087
101,1006.21,0.77257,1.15736,0.55919,0.95988,0.87361,0.92987,0.936,0.75344,0.87361,0.92987,0.93415,0.72169,0.74056,1.06259,0.55814,0.94119,0.000841835,0.000841835,0.000841835
102,1015.94,0.76302,1.14286,0.55027,0.95191,0.88898,0.96469,0.93214,0.78031,0.88898,0.96469,0.93089,0.73743,0.73231,1.02529,0.5766,0.93934,0.000833583,0.000833583,0.000833583
103,1025.68,0.76922,1.15022,0.5526,0.95565,0.87841,0.92443,0.90498,0.74151,0.87803,0.91876,0.90134,0.70509,0.72328,1.00381,0.59792,0.94404,0.000825332,0.000825332,0.000825332
104,1035.37,0.76609,1.1483,0.54895,0.95584,0.88268,0.95687,0.92048,0.75701,0.88113,0.95506,0.91768,0.70499,0.70838,0.99615,0.57553,0.94546,0.00081708,0.00081708,0.00081708
105,1045.19,0.74233,1.11553,0.54283,0.94986,0.89855,0.96343,0.92887,0.77982,0.89855,0.96343,0.92676,0.72568,0.70296,0.9852,0.54757,0.94192,0.000808828,0.000808828,0.000808828
106,1054.94,0.75043,1.15169,0.54537,0.95062,0.88923,0.96378,0.93378,0.76864,0.88923,0.96378,0.93182,0.73752,0.70112,0.97397,0.53741,0.93787,0.000800577,0.000800577,0.000800577
107,1064.63,0.7641,1.14832,0.54977,0.95128,0.88594,0.93168,0.95107,0.79144,0.88594,0.93168,0.94863,0.77259,0.70278,0.98772,0.51619,0.94414,0.000792325,0.000792325,0.000792325
108,1074.38,0.75799,1.12901,0.54433,0.95461,0.88671,0.93458,0.93139,0.76335,0.88671,0.93458,0.92828,0.74116,0.71526,0.99738,0.5183,0.94696,0.000784073,0.000784073,0.000784073
109,1084.13,0.74468,1.12932,0.52926,0.94786,0.89214,0.93168,0.91889,0.74995,0.89214,0.93168,0.9166,0.73219,0.7068,1.03354,0.52145,0.94714,0.000775822,0.000775822,0.000775822
110,1093.86,0.74925,1.13293,0.53199,0.94476,0.90192,0.93168,0.93397,0.76851,0.90192,0.93168,0.93359,0.73396,0.71788,1.05192,0.50126,0.94462,0.00076757,0.00076757,0.00076757
111,1103.6,0.73916,1.10368,0.52364,0.94664,0.90843,0.92566,0.95212,0.79167,0.90843,0.92566,0.95039,0.7649,0.71249,1.01022,0.50629,0.9407,0.000759318,0.000759318,0.000759318
112,1113.43,0.74597,1.1213,0.52867,0.94491,0.90881,0.9265,0.95226,0.79588,0.90881,0.9265,0.95096,0.7722,0.70968,1.01761,0.49596,0.94321,0.000751067,0.000751067,0.000751067
113,1123.23,0.73188,1.12572,0.51835,0.94192,0.91001,0.93032,0.95214,0.78591,0.91001,0.93032,0.95055,0.7546,0.71426,1.04157,0.46334,0.94735,0.000742815,0.000742815,0.000742815
114,1132.92,0.74591,1.11239,0.52631,0.9486,0.90693,0.93501,0.96092,0.79167,0.90693,0.93501,0.95838,0.76473,0.71485,1.06664,0.46643,0.94383,0.000734564,0.000734564,0.000734564
115,1142.68,0.73542,1.09754,0.52011,0.94463,0.8716,0.97787,0.96193,0.77022,0.8701,0.97652,0.95917,0.73487,0.70984,1.0763,0.48492,0.94146,0.000726312,0.000726312,0.000726312
116,1152.4,0.73386,1.08809,0.50939,0.94087,0.86914,0.9837,0.96454,0.78363,0.83406,0.94617,0.92051,0.73926,0.7142,1.10985,0.47759,0.94929,0.00071806,0.00071806,0.00071806
117,1162.09,0.70809,1.06343,0.50184,0.93203,0.90003,0.9609,0.95801,0.79717,0.86528,0.92531,0.8981,0.7291,0.70701,1.07918,0.49168,0.94787,0.000709809,0.000709809,0.000709809
118,1171.99,0.72173,1.1125,0.50832,0.94415,0.89434,0.95833,0.95673,0.78963,0.85956,0.92262,0.9041,0.74537,0.71044,1.03041,0.49364,0.95003,0.000701557,0.000701557,0.000701557
119,1181.72,0.73604,1.10493,0.50864,0.93935,0.91379,0.96558,0.95579,0.78088,0.87745,0.92987,0.8907,0.71525,0.70457,1.04597,0.48453,0.95038,0.000693305,0.000693305,0.000693305
120,1191.5,0.7151,1.06872,0.50174,0.93484,0.90743,0.9723,0.95418,0.7647,0.87192,0.93659,0.89862,0.72698,0.70128,1.03776,0.48575,0.94945,0.000685054,0.000685054,0.000685054
121,1201.22,0.7127,1.07308,0.50499,0.93687,0.90112,0.97283,0.95254,0.75489,0.90112,0.97283,0.95079,0.72443,0.70546,1.02092,0.49076,0.9515,0.000676802,0.000676802,0.000676802
122,1210.91,0.71159,1.07277,0.5016,0.9384,0.90951,0.92122,0.95207,0.77694,0.86132,0.89587,0.89146,0.72424,0.70058,1.01472,0.47757,0.93937,0.00066855,0.00066855,0.00066855
123,1220.68,0.70695,1.07,0.49639,0.93108,0.91325,0.92624,0.93905,0.78905,0.87566,0.89053,0.87562,0.72199,0.69753,1.02889,0.44781,0.94471,0.000660299,0.000660299,0.000660299
124,1230.49,0.71701,1.08042,0.49519,0.93463,0.91525,0.92733,0.94282,0.77962,0.87741,0.89179,0.89483,0.72992,0.69686,1.02437,0.4556,0.94348,0.000652047,0.000652047,0.000652047
125,1240.2,0.69783,1.04607,0.4859,0.93378,0.91501,0.92778,0.94365,0.77994,0.87712,0.89206,0.88501,0.72398,0.70281,1.0162,0.46083,0.9423,0.000643795,0.000643795,0.000643795
